measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1990,11026253.73696637,15201325.96257285,7679181.745791945
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1990,18063013.73261673,24787891.531774182,12622020.132826976
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1990,7107416.888526727,9770090.438697755,4916528.772987443
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1990,11553601.57141945,15798184.748831386,7993111.857551703
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1992,11804820.280787498,16225388.584378934,8221944.766935817
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1992,19132844.47429698,26126588.550213736,13356656.511091478
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1992,7342263.218474793,10069904.111916255,5090599.96679794
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1992,11919314.239241656,16299530.006705174,8244741.573928243
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1994,12477379.917191552,17081913.7739654,8682777.51351399
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1994,20071611.775056116,27430889.47041004,14016921.227715937
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1994,7574250.853664821,10390387.373789685,5257671.088567039
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1994,12300761.442532012,16765812.422456978,8533021.386570768
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1991,11425363.379653223,15737964.302935911,7954898.997274339
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1991,18609446.069041137,25487671.374368552,13005591.020786207
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1991,7226263.76686215,9932954.88873054,5011921.845632333
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1991,11734361.805990143,16067849.218040477,8109667.158135589
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1993,12157673.36323559,16679927.832608907,8469888.380978305
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1993,19620335.623651996,26829820.332356725,13690773.101548232
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1993,7459010.518864013,10252327.050376475,5177764.518154187
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1993,12107758.39714874,16506418.170013882,8391258.56242791
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1995,7690125.084783232,10554618.525492905,5333156.62673313
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1995,12499006.852921005,17020692.929083683,8687219.369260898
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1997,13240066.662538363,18178072.467836317,9211768.987265946
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1997,21167926.123949524,28963707.320509452,14836231.842891458
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1997,7925775.129843307,10872968.696534175,5490692.058122736
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1997,13090771.281003978,17860913.111611765,9110611.156662734
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1996,13011081.398076965,17897753.967757892,9043314.54758743
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1996,20830453.62444661,28535158.770919234,14594961.600112092
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1996,7807281.3736565,10726684.252987886,5412537.234119493
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1996,12753997.599050093,17385201.08886831,8871948.348920098
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1998,13458751.28440329,18521090.859832726,9357988.032598756
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1998,21497868.180137925,29416045.292085722,15069774.538733855
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1998,8045166.635257325,11028401.388576837,5594887.46737795
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Anxiety disorders,Number,1998,13464173.736094048,18398964.38376019,9388721.933368983
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1995,12760278.94018324,17546071.040970135,8858930.41619485
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1995,20473013.565607343,28005627.748075433,14309839.091792507
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Depressive disorders,Number,1999,13680413.135793993,18822237.231451612,9516257.926515315
DALYs (Disability-Adjusted Life Years),Global,Female,All ages,Depressive disorders,Number,1999,21836401.187669083,29893643.668507233,15317015.022229295
DALYs (Disability-Adjusted Life Years),Global,Male,All ages,Anxiety disorders,Number,1999,8164044.721225041,11214211.768296732,5666594.78549657
